min_jacc	comparison
0.7448979591836735	All
0.6444444444444445	All
0.525	All
0.6470588235294118	All
0.7592592592592593	All
0.6326530612244898	All
0.7222222222222222	All
0.4909090909090909	All
0.5576923076923077	All
0.6703296703296703	All
0.6122448979591837	All
0.6590909090909091	All
0.6590909090909091	All
0.6851851851851852	All
0.660377358490566	All
0.696969696969697	All
0.7	All
0.7	All
0.71875	All
0.6590909090909091	All
0.6533333333333333	All
0.7702702702702703	All
0.5692307692307692	All
0.7333333333333333	All
0.6785714285714286	All
0.6883116883116883	All
0.6753246753246753	All
0.515625	All
0.6153846153846154	All
0.6521739130434783	All
0.7441860465116279	All
0.5833333333333334	All
0.6296296296296297	All
0.7608695652173914	All
0.6428571428571429	All
0.7538461538461538	All
0.7966101694915254	All
0.7045454545454546	All
0.5901639344262295	All
0.6190476190476191	All
0.7333333333333333	All
0.6290322580645161	All
0.6764705882352942	All
0.7636363636363637	All
0.5862068965517241	All
0.6851851851851852	All
0.6575342465753424	All
0.7333333333333333	All
0.5909090909090909	All
0.5862068965517241	All
0.582089552238806	All
0.6181818181818182	All
0.6666666666666666	All
0.5769230769230769	All
0.6785714285714286	All
0.75	All
0.6712328767123288	All
0.6666666666666666	All
0.627906976744186	All
0.7	All
0.7386363636363636	All
0.647887323943662	All
0.7352941176470589	All
0.6333333333333333	All
0.6595744680851063	All
0.7272727272727273	All
0.6533333333333333	All
0.7142857142857143	All
0.7619047619047619	All
0.6941176470588235	All
0.7228915662650602	All
0.6708860759493671	All
0.6547619047619048	All
0.5833333333333334	All
0.6862745098039216	All
0.6071428571428571	All
0.6451612903225806	All
0.6575342465753424	All
0.5365853658536586	All
0.6811594202898551	All
0.6865671641791045	All
0.6666666666666666	All
0.5892857142857143	All
0.6973684210526315	All
0.7222222222222222	All
0.6666666666666666	All
0.0	All
0.0	All
0.6190476190476191	All
0.7361111111111112	All
0.5957446808510638	All
0.6666666666666666	All
0.47572815533980584	All
0.43617021276595747	All
0.6923076923076923	All
0.7027027027027027	All
0.7619047619047619	All
0.8076923076923077	All
0.7125	All
0.5961538461538461	All
0.7027027027027027	All
0.5517241379310345	All
0.6779661016949152	All
0.6756756756756757	All
0.6052631578947368	All
0.6666666666666666	All
0.7314814814814815	All
0.6805555555555556	All
0.7375	All
0.7540983606557377	All
0.7021276595744681	All
0.72	All
0.7945205479452054	All
0.75	All
0.6666666666666666	All
0.576271186440678	All
0.6419753086419753	All
0.5319148936170213	All
0.6097560975609756	All
0.7466666666666667	All
0.7037037037037037	All
0.6875	All
0.5	All
0.5531914893617021	All
0.6511627906976745	All
0.7450980392156863	All
0.65625	All
0.7142857142857143	All
0.5555555555555556	All
0.6212121212121212	All
0.6129032258064516	All
0.6712328767123288	All
0.6363636363636364	All
0.6379310344827587	All
0.64	All
0.726027397260274	All
0.5384615384615384	All
0.803921568627451	All
0.6909090909090909	All
0.7192982456140351	All
0.6885245901639344	All
0.75	All
0.7073170731707317	All
0.6060606060606061	All
0.6716417910447762	All
0.6935483870967742	All
0.6	All
0.6111111111111112	All
0.6710526315789473	All
0.746268656716418	All
0.56	All
0.5833333333333334	All
0.72	All
0.7413793103448276	All
0.5675675675675675	All
0.5769230769230769	All
0.4	All
0.6341463414634146	All
0.5333333333333333	All
0.6935483870967742	All
0.6326530612244898	All
0.6666666666666666	All
0.7216494845360825	All
0.6923076923076923	All
0.696969696969697	All
0.7291666666666666	All
0.696969696969697	All
0.8082191780821918	All
0.7887323943661971	All
0.7945205479452054	All
0.7307692307692307	All
0.7636363636363637	All
0.7833333333333333	All
0.71875	All
0.6785714285714286	All
0.6949152542372882	All
0.7076923076923077	All
0.6721311475409836	All
0.7407407407407407	All
0.7014925373134329	All
0.7272727272727273	All
0.6785714285714286	All
0.7818181818181819	All
0.7540983606557377	All
0.7818181818181819	All
0.7567567567567568	All
0.7358490566037735	All
0.75	All
0.65625	All
0.7115384615384616	All
0.6857142857142857	All
0.6481481481481481	All
0.6976744186046512	All
0.6470588235294118	All
0.7241379310344828	All
0.7619047619047619	All
0.7868852459016393	All
0.7619047619047619	All
0.7794117647058824	All
0.7794117647058824	All
0.7719298245614035	All
0.7592592592592593	All
0.803030303030303	All
0.8059701492537313	All
0.8105263157894737	All
